2012,57,29
2012,7,4
2012,24,17
2011,1,1
2008,32,14
2007,149,37
2007,264,187
2005,12,10
2004,17,7
2003,35,29
2003,143,128
2001,59,44
2001,65,53
2000,425,224
1996,1,1
1996,60,45
1996,31,21
1995,315,254
1994,1,0
1994,52,31
1979,34,22
1977,1,1
1976,284,151
1976,318,280
